dimension,num_points,delta,epsilon,accuracy_pct,LS_time_sec,avg_sample_time_sec,coefficient
500,30000,0.9,0.15,100,2494.73349,6.39732744,389.964952302019
500,30000,0.9,0.1,100,2494.73349,8.98398142,277.686848778011
500,30000,0.9,0.05,100,2494.73349,72.35021854,34.4813538969581
500,30000,1,0.5,100,10483.930025,0.83162672,12606.5334035924
500,30000,1,0.45,100,10483.930025,0.96201674,10897.8665225722
500,30000,1,0.4,100,10483.930025,1.10403096,9496.04712625088
500,30000,1,0.35,100,10483.930025,1.28696111,8146.26793578867
500,30000,1,0.3,100,10483.930025,1.47920777,7087.53039135266
500,30000,1,0.25,100,10483.930025,1.69949619,6168.84585366443
500,30000,1,0.2,100,10483.930025,2.36442531,4434.02884441294
500,30000,1,0.15,100,10483.930025,3.18448985,3292.18509677461
500,30000,1,0.1,100,10483.930025,5.01411593,2090.88305323646
500,30000,1,0.05,100,10483.930025,48.65957179,215.454629774497
